Import,Year,Country,KG,DKK,HS_Code,Commodity_Name
Import,2020,Uoplyst land EU-lande,0,0,07041010,"Blomkål og broccoli, som har sat hoved, frisk eller kølet"
Import,2020,Uoplyst land 3. Lande,0,0,07041010,"Blomkål og broccoli, som har sat hoved, frisk eller kølet"
Import,2020,I alt,0,0,07041080,"Blomkål og broccoli, fersk/kølet, i perioden 1 december - 31 december"
Import,2020,Diskretioneret,0,0,07041080,"Blomkål og broccoli, fersk/kølet, i perioden 1 december - 31 december"
Import,2020,Uoplyst land,0,0,07041080,"Blomkål og broccoli, fersk/kølet, i perioden 1 december - 31 december"
Import,2020,Uoplyst land EU-lande,0,0,07041080,"Blomkål og broccoli, fersk/kølet, i perioden 1 december - 31 december"
Import,2020,Uoplyst land 3. Lande,0,0,07041080,"Blomkål og broccoli, fersk/kølet, i perioden 1 december - 31 december"
Import,2020,I alt,0,0,07041090,"Broccoli (undtagen broccoli, som har sat hoved), frisk eller kølet"
Import,2020,Diskretioneret,0,0,07041090,"Broccoli (undtagen broccoli, som har sat hoved), frisk eller kølet"
Import,2020,Uoplyst land,0,0,07041090,"Broccoli (undtagen broccoli, som har sat hoved), frisk eller kølet"
Import,2020,Uoplyst land EU-lande,0,0,07041090,"Broccoli (undtagen broccoli, som har sat hoved), frisk eller kølet"
Import,2020,Uoplyst land 3. Lande,0,0,07041090,"Broccoli (undtagen broccoli, som har sat hoved), frisk eller kølet"
Import,2020,I alt,656058,6441061,07042000,"Rosenkål, frisk eller kølet"
Import,2020,Diskretioneret,0,0,07042000,"Rosenkål, frisk eller kølet"
Import,2020,Uoplyst land,0,0,07042000,"Rosenkål, frisk eller kølet"
Import,2020,Uoplyst land EU-lande,0,0,07042000,"Rosenkål, frisk eller kølet"
Import,2020,Uoplyst land 3. Lande,0,0,07042000,"Rosenkål, frisk eller kølet"
Import,2020,I alt,4999802,47607295,07049010,"Hvidkål og rødkål, frisk eller kølet"
Import,2020,Diskretioneret,0,0,07049010,"Hvidkål og rødkål, frisk eller kølet"
Import,2020,Uoplyst land,0,0,07049010,"Hvidkål og rødkål, frisk eller kølet"
Import,2020,Uoplyst land EU-lande,0,0,07049010,"Hvidkål og rødkål, frisk eller kølet"
Import,2020,Uoplyst land 3. Lande,0,0,07049010,"Hvidkål og rødkål, frisk eller kølet"
Import,2020,I alt,7131351,91572253,07049090,"Glaskål og anden spiselig kål, frisk eller kølet (undtagen blomkål, broccoli, rosenkål, hvidkål og rødkål)"
Import,2020,Diskretioneret,0,0,07049090,"Glaskål og anden spiselig kål, frisk eller kølet (undtagen blomkål, broccoli, rosenkål, hvidkål og rødkål)"
Import,2020,Uoplyst land,0,0,07049090,"Glaskål og anden spiselig kål, frisk eller kølet (undtagen blomkål, broccoli, rosenkål, hvidkål og rødkål)"
Import,2020,Uoplyst land EU-lande,0,0,07049090,"Glaskål og anden spiselig kål, frisk eller kølet (undtagen blomkål, broccoli, rosenkål, hvidkål og rødkål)"
Import,2020,Uoplyst land 3. Lande,0,0,07049090,"Glaskål og anden spiselig kål, frisk eller kølet (undtagen blomkål, broccoli, rosenkål, hvidkål og rødkål)"
Import,2020,I alt,8118362,83182823,07051100,"Hovedsalat, frisk eller kølet"
Import,2020,Diskretioneret,0,0,07051100,"Hovedsalat, frisk eller kølet"
Import,2020,Uoplyst land,0,0,07051100,"Hovedsalat, frisk eller kølet"
Import,2020,Uoplyst land EU-lande,0,0,07051100,"Hovedsalat, frisk eller kølet"
Import,2020,Uoplyst land 3. Lande,0,0,07051100,"Hovedsalat, frisk eller kølet"
Import,2020,I alt,0,0,07051105,"Hovedsalat, fersk/kølet, i perioden 1 januar - 31 marts"
Import,2020,Diskretioneret,0,0,07051105,"Hovedsalat, fersk/kølet, i perioden 1 januar - 31 marts"
Import,2020,Uoplyst land,0,0,07051105,"Hovedsalat, fersk/kølet, i perioden 1 januar - 31 marts"
Import,2020,Uoplyst land EU-lande,0,0,07051105,"Hovedsalat, fersk/kølet, i perioden 1 januar - 31 marts"
Import,2020,Uoplyst land 3. Lande,0,0,07051105,"Hovedsalat, fersk/kølet, i perioden 1 januar - 31 marts"
Import,2020,I alt,0,0,07051110,"Hovedsalat, fersk/kølet, i perioden 1 april - 30 november"
Import,2020,Diskretioneret,0,0,07051110,"Hovedsalat, fersk/kølet, i perioden 1 april - 30 november"
Import,2020,Uoplyst land,0,0,07051110,"Hovedsalat, fersk/kølet, i perioden 1 april - 30 november"
Import,2020,Uoplyst land EU-lande,0,0,07051110,"Hovedsalat, fersk/kølet, i perioden 1 april - 30 november"
Import,2020,Uoplyst land 3. Lande,0,0,07051110,"Hovedsalat, fersk/kølet, i perioden 1 april - 30 november"
Import,2020,I alt,0,0,07051180,"Hovedsalat, fersk/kølet, i perioden 1 december - 31 december"
Import,2020,Diskretioneret,0,0,07051180,"Hovedsalat, fersk/kølet, i perioden 1 december - 31 december"
Import,2020,Uoplyst land,0,0,07051180,"Hovedsalat, fersk/kølet, i perioden 1 december - 31 december"
Import,2020,Uoplyst land EU-lande,0,0,07051180,"Hovedsalat, fersk/kølet, i perioden 1 december - 31 december"
Import,2020,Uoplyst land 3. Lande,0,0,07051180,"Hovedsalat, fersk/kølet, i perioden 1 december - 31 december"
Import,2020,I alt,0,0,07051190,"Hovedsalat, fersk/kølet, i perioden 1 december - 31 marts"
Import,2020,Diskretioneret,0,0,07051190,"Hovedsalat, fersk/kølet, i perioden 1 december - 31 marts"
Import,2020,Uoplyst land,0,0,07051190,"Hovedsalat, fersk/kølet, i perioden 1 december - 31 marts"
Import,2020,Uoplyst land EU-lande,0,0,07051190,"Hovedsalat, fersk/kølet, i perioden 1 december - 31 marts"
Import,2020,Uoplyst land 3. Lande,0,0,07051190,"Hovedsalat, fersk/kølet, i perioden 1 december - 31 marts"
Import,2020,I alt,12055694,190249025,07051900,"Salat Lactuca sativa, frisk eller kølet (undtagen hovedsalat)"
Import,2020,Diskretioneret,0,0,07051900,"Salat Lactuca sativa, frisk eller kølet (undtagen hovedsalat)"
Import,2020,Uoplyst land,0,0,07051900,"Salat Lactuca sativa, frisk eller kølet (undtagen hovedsalat)"
Import,2020,Uoplyst land EU-lande,0,0,07051900,"Salat Lactuca sativa, frisk eller kølet (undtagen hovedsalat)"
Import,2020,Uoplyst land 3. Lande,0,0,07051900,"Salat Lactuca sativa, frisk eller kølet (undtagen hovedsalat)"
Import,2020,I alt,129241,1995288,07052100,"Cikorie af arten Cichorium intybus var. foliosum, frisk eller kølet"
Import,2020,Diskretioneret,0,0,07052100,"Cikorie af arten Cichorium intybus var. foliosum, frisk eller kølet"
Import,2020,Uoplyst land,0,0,07052100,"Cikorie af arten Cichorium intybus var. foliosum, frisk eller kølet"
Import,2020,Uoplyst land EU-lande,0,0,07052100,"Cikorie af arten Cichorium intybus var. foliosum, frisk eller kølet"
Import,2020,Uoplyst land 3. Lande,0,0,07052100,"Cikorie af arten Cichorium intybus var. foliosum, frisk eller kølet"
Import,2020,I alt,274327,4508570,07052900,"Cikorie Cichorium-arter, frisk eller kølet (undtagen Cichorium intybus var. foliosum)"
Import,2020,Diskretioneret,0,0,07052900,"Cikorie Cichorium-arter, frisk eller kølet (undtagen Cichorium intybus var. foliosum)"
Import,2020,Uoplyst land,0,0,07052900,"Cikorie Cichorium-arter, frisk eller kølet (undtagen Cichorium intybus var. foliosum)"
Import,2020,Uoplyst land EU-lande,0,0,07052900,"Cikorie Cichorium-arter, frisk eller kølet (undtagen Cichorium intybus var. foliosum)"
